,lat,lng
,12.8877097,74.8342681
,16.1863676,75.7040834
,15.8634235,74.5265588
,13.259273,76.4785708
,16.8589885,75.7151832999999
,12.9989215,77.5802099
,15.1566427,76.9280716999999
,12.9061102,77.6333421
,12.9929794,77.5762539
,12.9411334,77.5674964
,13.0166851,77.5394130999999
,12.9814466,77.5311766
,14.8319856,74.1436164
,12.9478827,77.5921463999999
,13.0184578,77.6578313999999
,12.9779716,77.5115417
,12.3231188,76.6268991
,12.9579018,77.5691523
,12.9669762,77.7169177
,13.3295781,74.7485258
,13.3411662,74.7520445999999
,13.4390021,77.7285577999999
,13.3295781,74.7485258
,12.9061285,77.5869934999999
,12.9165676,77.6275242
,12.8843789,77.6031289
,14.4189011,74.4167006
,15.8360116,74.5033308
,13.061229,77.5518045
,13.0992337,77.3918694
,13.0848267,77.5473214
,12.3050419,76.6958472
,13.0257861,77.6378072999999
,12.9639732,77.5868588
,12.323263,76.63664
,13.6070434,77.5164851999999
,12.4355741,76.3816425
,13.3119161,76.9404534
,12.9581034,77.5114041
,14.1672264,75.0238100999999
,13.9449691,75.5744132
,12.9992138,77.5502906
,13.3378718,77.1173046
,13.0095947,77.6556634
,13.0103699,77.6582586999999
,13.5464617,76.0188355
,17.3191043,76.8252062999999
,13.3242949,77.1292228
,12.9775522,77.6459313
,12.9119579,77.5584205
,12.9126861,77.5913539
,16.8286868,75.7095283
,16.8630431,75.7429636
,13.260541,76.4723121999999
,12.9905168,74.7996999
,15.4129232,75.6364593
,17.3233902,76.8296211
,15.4456807,75.0035803
,12.314428,76.655237
,12.314428,76.655237
,16.4726693,75.1049343
,16.8303341,75.7293246999999
,16.7208835,75.0574642
,14.4601512,75.9187772
,13.130219,78.1314189
,13.0014099,77.6127475
,12.8842699,74.8360917999999
,12.3217974,76.6091747999999
,12.9342303,77.5846981999999
,13.0076009,77.5606162
,13.0592753,77.5788056
,12.883263,77.549999
,12.9156947,77.6909532999999
,12.9748021,77.5092308
,12.9936978,77.5713399
,12.872806,74.8566525999999
,12.3489355,76.6605673999999
,12.9200193,77.665404
,12.9698196,77.7499721
,13.0514002,77.5948722
,13.2641298,77.5553815999999
,12.9817077,77.6799726
,12.9484571,77.5525904
,13.0484429,77.6456044999999
,12.3201582,76.6506101
,13.0120255,76.1023144
,12.9910548,77.6014781
,13.0232083,77.6358319
,12.888292,77.561261
,12.8986374,77.6263125
,12.9351796,77.6237151
,13.1183406,77.6082694999999
,12.9206598,77.5598165
,15.8292045,74.5010302
,15.1455974,76.9293792
,13.0161669,76.1059394
,17.3337074,76.8294731
,13.5482445,76.0115791
,12.9914183,77.5974894
,12.9579943,77.6043109
,13.3922613,78.0475063
,13.098204,77.596915
,13.0121529,77.6998203
,13.3162654,75.7760957
,12.9261446,77.5772904999999
,12.9343812,77.4903475
,12.9753979,77.5135189
